id,status_update,created_by,created_time,media_url,posted_ip,privacy_settings,post_status
32,"Logan McFarland, 24, and Angela Atwood, 25, are suspected of murder.",122,2020-09-26T04:39:02Z,http://dummyimage.com/1242x1178.png/5fa2dd/ffffff,94.240.121.173,me,active
33,Watch live news stream from ABC News.,492,2021-05-26T15:47:00Z,http://dummyimage.com/1207x378.png/dddddd/000000,83.131.115.222,me,draft
34,"“Last night, the people of Iowa spoke with a very clear voice, so I have decided to stand aside,” Bachmann said.",532,2020-12-14T07:45:18Z,,17.57.157.254,me,deleted
35,"Rick Perry today hinted that he has no plans to end his campaign, one day after a crushing fifth-place finish in the Iowa caucuses, which prompted the Texas governor to announce a brief hiatus for reassessment.",895,2021-05-21T07:15:04Z,,0.136.149.162,me,active
36,Steelers safety Ryan Clark will watch Sunday's game in Denver from the sidelines.,12,2020-11-12T07:37:41Z,http://dummyimage.com/1694x1002.png/dddddd/000000,92.30.212.43,anyone,deleted
37,"Fresh off his win in Tuesday night’s Iowa caucuses, Mitt Romney arrived in New Hampshire today to a warm welcome from Sen. John McCain, who made his endorsement official.",137,2021-04-01T02:23:05Z,http://dummyimage.com/1433x350.png/cc0000/ffffff,252.107.189.103,anyone,deleted
38,Teen mom shot and killed intruder to protect her three-month-old baby.,273,2021-03-01T23:55:51Z,http://dummyimage.com/1322x501.png/ff4444/ffffff,27.127.177.106,me,active
39,Pellet gun looked like a real weapon and student would not put it down.,274,2021-04-01T18:49:39Z,http://dummyimage.com/995x543.png/cc0000/ffffff,229.133.137.138,friends,active
40,"In the rugged cowboy country of western Colorado, master saddle maker Bob Klenda has noticed a troublesome trend since he started stitching leather in 1961: The typical horseback rider has a much bigger posterior.",775,2020-09-16T16:06:58Z,http://dummyimage.com/1954x1638.png/dddddd/000000,83.165.62.122,anyone,deleted
41,Petit's wife and daughters were killed in a Connecticut home invasion in 2007.,746,2021-02-04T07:33:08Z,http://dummyimage.com/863x1813.png/cc0000/ffffff,227.210.87.181,anyone,deleted
42,"The Iowa caucuses Tuesday elevated Rick Santorum, once a virtual unknown, into the national spotlight.",452,2021-03-28T08:32:29Z,http://dummyimage.com/439x604.png/5fa2dd/ffffff,224.23.231.78,me,deleted
43,Chinese police are investigating whether local billionaire tycoon Long Liyuan was killed by a poison-spiked batch of cat stew in the southern province of Guangdong.,764,2021-03-11T01:20:07Z,http://dummyimage.com/818x501.png/dddddd/000000,0.171.40.47,anyone,active
44,"Police in Fresno, Calif. were called to respond to a car parked squarely on the roof of an apartment building.",706,2021-05-06T01:03:19Z,http://dummyimage.com/426x387.png/cc0000/ffffff,112.49.37.249,friends,deleted
45,"The UK’s self-proclaimed “Human Barbie” gave her 7-year-old daughter an unusual stocking stuffer this Christmas: a £7,000 voucher for liposuction.",440,2021-04-30T10:00:25Z,http://dummyimage.com/346x1680.png/cc0000/ffffff,157.183.52.224,anyone,draft
46,"Casey Anthony talks about her new pet dog, but doesn't mention daughter Caylee.",768,2020-09-17T09:12:35Z,http://dummyimage.com/1574x1320.png/dddddd/000000,148.103.254.126,anyone,active
47,"Ammaria Johnson, 7, died at school after an allergic reaction.",873,2021-08-17T11:46:17Z,http://dummyimage.com/1361x424.png/ff4444/ffffff,193.119.204.114,anyone,deleted
48,The IRS said Wednesday that taxpayers will have two extra days this year to file their 2011 returns.,540,2021-03-27T13:47:07Z,http://dummyimage.com/1703x159.png/dddddd/000000,101.46.181.71,friends,active
49,See the whole picture with George Stephanopoulos every Sunday.,148,2021-06-13T06:26:15Z,http://dummyimage.com/478x1029.png/ff4444/ffffff,190.222.20.97,anyone,draft
50,"The Salt Lake Tribune/Djamila Grossman/AP Photo A stray cat in Utah’s will to survive was enough to let it live out the rest of its nine lives with an adopted family, but not enough to change the animal euthanasia policy in the town where it lives. Officials at the West Valley City Animal Shelter in...",606,2021-02-24T00:00:27Z,http://dummyimage.com/235x1132.png/dddddd/000000,36.70.242.128,anyone,deleted
51,"CHICAGO – Largely lost in the build-up to the Iowa caucuses was a moment that could ultimately prove decisive in this year’s presidential election: Mitt Romney’s threat to veto the DREAM Act, a bill that would provide a path to citizenship to some undocumented children of immigrants who attend colle...",385,2021-03-01T19:22:59Z,http://dummyimage.com/1807x1208.png/5fa2dd/ffffff,156.18.123.159,friends,active
52,"(Equinox Fitness) Equinox Fitness, a national gym chain headquartered in New York, is getting hit with criticism from members and the media for ads that feature models who are “skinny” instead of “healthy and fit.” The ad campaign is Equinox’s second set by fashion photographer Terry Richardson. In ...",837,2021-08-10T20:14:23Z,http://dummyimage.com/678x969.png/5fa2dd/ffffff,22.228.136.37,me,active
53,"Rick Santorum was booed after a lengthy back-and-forth with several students in Concord, N.H., on the issue of same-sex marriage, which is legal in New Hampshire. As Santorum addressed a group of college students, one asked him how same-sex marriage affects him personally and why not have legal sam...",347,2021-05-23T17:09:35Z,http://dummyimage.com/1382x1159.png/ff4444/ffffff,94.16.215.78,anyone,active
54,Charles Foster did not know that Ed Stevens suffered from dementia.,871,2020-12-28T01:52:22Z,http://dummyimage.com/1983x1517.png/dddddd/000000,77.96.84.37,friends,active
55,"ABC’s Juju Chang and Erin Brady report: At 30, Kaylea Moss said she began to fear she was eating herself to death. Weighing in at 242 pounds, Moss said she routinely ate an entire box of pasta in a day, or heaping scoops of white rice and beans, and was constantly snacking on fatty foods — onion rin...",912,2021-05-17T19:43:26Z,http://dummyimage.com/554x1959.png/ff4444/ffffff,143.131.25.90,friends,active
56,More good news for the economy.,384,2021-08-11T21:13:51Z,http://dummyimage.com/1321x1593.png/5fa2dd/ffffff,23.160.48.82,anyone,active
57,"Roughly 200 million people worldwide use illicit drugs such as marijuana, amphetamines, cocaine and opioids each year, according to a new study.",467,2020-12-29T01:51:45Z,http://dummyimage.com/568x1877.png/cc0000/ffffff,11.118.253.226,friends,deleted
58,Film giant near bankruptcy in digital age.,273,2021-02-05T15:20:10Z,http://dummyimage.com/765x210.png/cc0000/ffffff,125.66.103.236,me,deleted
59,Millions of people are receiving checks from a currency antitrust settlement.,766,2021-01-19T20:05:01Z,http://dummyimage.com/1937x1131.png/cc0000/ffffff,46.162.209.188,friends,active
60,"A dog, presumed dead after being buried by an avalanche was back at home in Bozeman, Mont., after digging himself out and walking to a nearby town.",669,2021-01-26T06:07:54Z,http://dummyimage.com/1767x588.png/dddddd/000000,90.120.235.87,friends,draft
61,"We want your questions! Leave them below or on our linked mailform. The debate airs on ABC, ABCNews.com and YahooNews.com at 9pm ET, Saturday Jan 7.",213,2021-01-10T02:48:52Z,http://dummyimage.com/1315x626.png/dddddd/000000,119.154.36.100,me,draft
62,"Iranian sailors had been held hostage in Arabian Sea for weeks, Navy says.",978,2021-04-17T19:55:20Z,http://dummyimage.com/254x1144.png/dddddd/000000,82.152.178.142,me,draft
63,"A Colorado teenager whose yearbook picture was rejected for being too revealing is vowing to fight the ban with her high school’s administration, but the editors of the yearbook insist it was their decision alone on the photo. The five student editors of the Durango High School yearbook in Durango, ...",520,2021-08-03T13:16:38Z,http://dummyimage.com/217x236.png/cc0000/ffffff,99.156.44.90,friends,draft
64,"Whichever way you slice it, the U.S. economy has now been creating jobs for 22 consecutive months. But you wouldn’t know it from the rhetoric Republican presidential candidates have been spouting on the trail. “This president has been on the attack and has been a job killer,” GOP frontrunner Mitt Ro...",770,2021-06-28T00:39:19Z,http://dummyimage.com/1213x1507.png/ff4444/ffffff,156.11.22.149,anyone,deleted
65,"Star Wars fans rejoice. You will now be able to enjoy your favorite side of the force in a whole knew way, by eating it in burger form. There’s only one problem, you’ll have to fly to France to do it. French fast food chain Quick recently announced the introduction of two new burgers, the Jedi Burge...",856,2020-12-06T16:03:04Z,http://dummyimage.com/1067x1812.png/5fa2dd/ffffff,80.65.239.159,me,draft
66,"NASHUA, N.H. – After taking two days off, Ron Paul returned to the campaign trail, again hitting his GOP rivals over criticism that his foreign policy positions are “dangerous.” With pep in his step that had been lacking in the final days of Iowa, Rep. Paul, R-Texas, reminded the youthful audience o...",662,2020-10-22T00:47:19Z,http://dummyimage.com/182x989.png/5fa2dd/ffffff,117.107.12.60,anyone,active
67,"Family outraged when dad jailed, kids removed over unfounded abuse allegations.",963,2021-04-28T10:42:13Z,http://dummyimage.com/820x705.png/ff4444/ffffff,17.109.195.198,me,draft
68,Psychologists say parents need rituals to grieve a preterm pregnancy loss.,362,2020-10-27T14:23:39Z,,233.125.210.157,friends,active
69,"CHICAGO – With the race for the Republican presidential nomination at its most critical moment to date, only days before the crucial New Hampshire primary, the six candidates will square off Saturday night in Manchester at an ABC News/Yahoo! News/WMUR debate that has the potential to be the most exp...",689,2020-12-11T12:13:45Z,http://dummyimage.com/1835x144.png/5fa2dd/ffffff,183.90.210.240,anyone,deleted
70,"People pays upwards of $100,000 to have their dogs cloned.",482,2020-12-25T12:00:33Z,http://dummyimage.com/353x1990.png/cc0000/ffffff,161.21.213.16,friends,active
71,From Marbury to Roe: Our Pick for Essential Supreme Court Rulings,291,2021-02-18T18:52:55Z,http://dummyimage.com/1702x1343.png/5fa2dd/ffffff,228.253.130.227,friends,active
72,New research finds that cognitive decline may begin at age 45.,892,2020-09-17T00:16:04Z,http://dummyimage.com/296x1150.png/5fa2dd/ffffff,209.68.208.137,friends,active
73,A lawyer plans to sue on behalf of Dallas runaway who was deported to Colombia.,243,2020-10-24T23:05:50Z,http://dummyimage.com/1888x1892.png/cc0000/ffffff,19.85.95.100,me,draft
74,"A $350,000 ring is missing, but another missing since the 1930s has been found.",86,2021-05-02T16:48:04Z,http://dummyimage.com/1377x861.png/ff4444/ffffff,137.42.45.100,me,active
75,"A 22-year-old pilot who hit a power line, knocked over a street sign and had to dodge a car while landing her stricken plane on the street of...",860,2021-03-28T16:36:42Z,http://dummyimage.com/341x1132.png/5fa2dd/ffffff,168.69.119.97,me,deleted
76,"A San Francisco lawmaker pleaded no contest after stealing nearly $2,500 of clothing from an upscale department store and a benign brain tumor may have impaired her judgment, her lawyer says. Democratic Assemblywoman Mary Hayashi’s lawyer says her medical condition might have played a role in her sh...",263,2020-11-20T22:31:44Z,http://dummyimage.com/1328x1870.png/ff4444/ffffff,164.227.224.230,me,deleted
77,"Facebook ABC News’ Katti Gray reports: The relatives of a missing 25-year-old Pennsylvania man said they aren’t entirely certain they believe in psychics — only that they’re willing to use an assortment of means to locate him. James Slack, of Bridgeville, Pa. was last seen at a String Cheese Inciden...",180,2021-07-24T11:57:10Z,http://dummyimage.com/1126x519.png/ff4444/ffffff,1.58.83.61,me,active
78,Pellet gun looked like a real weapon and student would not put it down.,88,2021-03-21T14:08:03Z,http://dummyimage.com/1925x1330.png/5fa2dd/ffffff,217.161.251.32,me,draft
79,The only broadcast network debate in primetime before the primary airs from 9:00-11:00pm/ET(6:00-8:00pm/PT) from Saint Anselm College.,811,2021-08-04T01:40:38Z,http://dummyimage.com/475x1249.png/5fa2dd/ffffff,120.160.144.133,me,draft
80,"Third graders in in Gwinnett County, Ga., were given math homework Wednesday that asked questions about slavery and beatings. Christopher Braxton told ABC News affiliate WSB-TV in Atlanta that he couldn’t believe the assignment his 8-year-old son brought home from of Beaver Ridge Elementary school i...",173,2020-09-04T18:51:37Z,http://dummyimage.com/1675x140.png/cc0000/ffffff,190.155.51.190,me,deleted
81,"(ABC) 3 Videos Underline New Questions About What ‘Wild’ and ‘Tame’ Really Mean Nature’s Edge Notebook #12 – Observation, Analysis, Reflection, New Questions Stray dogs figure out how to use Moscow’s subway system to get downtown to neighborhoods where the food is better. For years, a house cat in E...",1000,2021-03-12T02:13:33Z,http://dummyimage.com/1775x830.png/5fa2dd/ffffff,178.23.203.102,me,deleted
86,Starbucks is increasing its prices in the Northeast and Sunbelt regions.,438,2021-05-26T11:33:12Z,http://dummyimage.com/767x635.png/dddddd/000000,119.224.39.19,friends,draft
87,Scientific mystery: Why some live so well for so long,366,2020-12-21T23:50:48Z,http://dummyimage.com/613x144.png/5fa2dd/ffffff,226.174.22.168,anyone,deleted
88,"Shizuo Kambayashi/AP Photo If the price of premium tuna is any indication of the country’s economic state, then Japan’s finances are in good order...",809,2021-04-19T05:00:23Z,http://dummyimage.com/1478x346.png/dddddd/000000,105.237.141.143,anyone,deleted
89,"The body is that of Alisa Dmitrijeva, who went missing last year.",242,2020-12-18T04:22:33Z,http://dummyimage.com/1302x1816.png/cc0000/ffffff,239.222.175.48,anyone,active
90,"With Iowa behind them, candidates and political enthusiasts alike are turning their eyes eastward to New Hampshire, where voters are gearing up for...",417,2020-12-30T07:52:59Z,http://dummyimage.com/1776x954.png/5fa2dd/ffffff,226.197.249.55,me,active
91,Here's where you should explore this year.,790,2020-12-21T21:57:17Z,http://dummyimage.com/546x1157.png/cc0000/ffffff,17.145.141.113,me,active
92,A suburban Chicago police officer allegedly turned a $132 speeding ticket into a pick-up opportunity when he later tracked down the female driver...,93,2021-05-27T17:56:42Z,http://dummyimage.com/1144x641.png/cc0000/ffffff,149.99.190.48,anyone,draft
93,Can the government force you to give up your password in the course of an investigation against you?,201,2020-11-21T04:07:38Z,http://dummyimage.com/646x1987.png/ff4444/ffffff,223.243.158.109,friends,active
94,"Would websites like Google, Facebook and Twitter go dark to protest?",335,2021-08-03T15:59:44Z,http://dummyimage.com/1159x1176.png/ff4444/ffffff,53.223.80.13,me,active
95,"A female tourist survived a fall into the Zambezi River, in Zimbabwe, after her bungee cord broke and she plunged into crocodile-infested waters.",17,2021-01-15T10:26:31Z,http://dummyimage.com/1899x982.png/ff4444/ffffff,214.8.45.131,friends,deleted
96,"General Motors and its joint ventures sold 2,547,171 vehicles in China in 2011.",669,2020-12-18T20:55:10Z,http://dummyimage.com/342x1900.png/5fa2dd/ffffff,143.104.146.16,me,active
97,Ex-Marine Amir Hekmati charged with aiding CIA; parents 'shocked and terrified.',34,2021-04-14T01:48:12Z,http://dummyimage.com/1288x1789.png/dddddd/000000,247.21.93.192,anyone,draft
98,"Wall Street banks will announce their annual compensation and bonuses starting this month, and forecasts are generally expecting cutbacks across the board.",349,2021-07-13T08:52:53Z,http://dummyimage.com/1363x1171.png/5fa2dd/ffffff,153.172.251.48,friends,active
99,Jon Huntsman says Romney’s “I like to fire people” comment shows he is “completely out of touch” with what’s going on the country.,79,2021-05-29T19:34:38Z,http://dummyimage.com/1068x463.png/ff4444/ffffff,122.123.84.67,anyone,draft
100,Bill Daley tells ABC News that he resigned last week as White House chief of staff.,104,2021-04-14T12:12:40Z,http://dummyimage.com/1238x751.png/dddddd/000000,196.152.147.220,friends,deleted
101,A quick breakdown of the top Republican candidates by the issues.,722,2020-10-03T17:38:10Z,http://dummyimage.com/1315x1681.png/5fa2dd/ffffff,222.204.152.215,friends,active
102,"Mitt Romney has met his worst enemy on the 2012 campaign trail, and his name isn’t Newt Gingrich or Rick Santorum or Ron Paul or even Barack Obama. His name is Gordon Gekko.",450,2021-01-26T09:15:26Z,http://dummyimage.com/1156x1532.png/5fa2dd/ffffff,37.22.97.213,me,draft
103,Similarities in both cases lead to speculation about disappearances.,249,2021-01-28T18:18:34Z,http://dummyimage.com/1890x1758.png/dddddd/000000,163.90.20.86,anyone,deleted
104,"Just when the controversy over the banned FourLoko has died down, a beverage company has come out with straight Scotch in a can, just like soda pop.",8,2021-05-14T17:13:15Z,http://dummyimage.com/880x1449.png/5fa2dd/ffffff,240.255.114.141,friends,deleted
105,"Not to be confused with biblical prophecy or the Mayan calendar, the so-called Doomsday Clock owes its existence to scientists and engineers, or at least those who’ve been affiliated …",898,2021-06-29T07:47:46Z,http://dummyimage.com/1291x1659.png/dddddd/000000,244.128.105.106,friends,deleted
106,"Mitt Romney’s basic popularity looks more positive after his whisker-close win in the Iowa caucuses, while perceptions of Ron Paul are clearly negative for the first time in ABC News-Washington Post polling.",575,2021-06-08T11:38:52Z,http://dummyimage.com/1356x184.png/cc0000/ffffff,205.173.172.65,me,deleted
107,"The first polls are now opening in New Hampshire, one week after Mitt Romney’s eight-vote win in the Iowa caucuses.",881,2020-09-19T02:17:49Z,http://dummyimage.com/415x1691.png/ff4444/ffffff,229.255.131.56,friends,active
108,"“The TV will have the ability to track someone who’s watching TV,” said Bruce Walker of Toshiba America. “So you don’t have to sit in one spot to get that beautiful 3-D experience.'",697,2020-09-25T01:26:44Z,http://dummyimage.com/1708x608.png/dddddd/000000,3.75.176.60,anyone,deleted
109,"In a rare speech today, President Bashar al-Assad of Syria again blamed the unrest in his country on terrorists, foreign meddling and media bias, criticizing ABC News in particular.",560,2020-10-21T17:40:37Z,http://dummyimage.com/1590x1369.png/dddddd/000000,2.131.211.244,me,deleted
110,"Offensive coordinator Joe Philbin's son was found dead, sources say.",191,2021-01-15T04:25:58Z,http://dummyimage.com/1556x1589.png/5fa2dd/ffffff,88.206.90.150,me,draft
111,"Organized crime has become Italy's largest business, study finds.",142,2021-05-17T18:18:22Z,http://dummyimage.com/529x1115.png/ff4444/ffffff,193.212.197.37,friends,deleted
112,"We’re journalists, not prognosticators. But in this business, sometimes it is just an irresistible conversation line to turn to each other and ask, ‘so, what do you think is really going to happen?’",549,2020-08-31T22:33:23Z,http://dummyimage.com/273x884.png/dddddd/000000,28.154.73.251,me,deleted
113,Texas baby born with omphalocele underwent rare surgery to correct condition.,54,2020-12-16T19:59:24Z,http://dummyimage.com/782x432.png/dddddd/000000,103.3.36.55,anyone,deleted
115,Early results from exit polls in New Hampshire show that many voters say that the Republican nominee should be the candidate who can best take on President Obama.,664,2021-04-13T11:19:32Z,http://dummyimage.com/535x612.png/5fa2dd/ffffff,128.162.163.17,me,deleted
116,"Ron Paul will place in second, followed by Jon Huntsman.",137,2020-11-11T13:02:35Z,http://dummyimage.com/691x1361.png/5fa2dd/ffffff,175.132.186.2,friends,active
117,"A crowded field is once again Mitt Romney’s best friend. Though Romney can boast of a 14-point margin of victory in the New Hampshire primary, his overall percentage of the vote was just under 40 percent. In other words, more than 60 percent of Republican voters in New Hampshire — the state that he ...",202,2021-01-21T02:40:40Z,http://dummyimage.com/638x1433.png/5fa2dd/ffffff,232.5.119.188,friends,active
118,"Scientists are interested in oxytocin (the hormone, not the addictive painkiller).",589,2021-02-10T13:25:30Z,http://dummyimage.com/865x1022.png/ff4444/ffffff,119.38.151.44,me,active
119,Fresh off a win in the New Hampshire primary Mitt Romney brushed aside criticism from his Republican opponents and said their argument against his record at Bain won’t work in South Carolina.,39,2021-05-17T18:53:14Z,http://dummyimage.com/658x1086.png/cc0000/ffffff,42.150.220.124,friends,deleted
120,"Iranian official blames U.S. and Israel, seen as latest strike in covert war.",74,2021-03-27T17:46:53Z,http://dummyimage.com/1047x1103.png/ff4444/ffffff,2.149.86.153,me,draft
121,"Joran van der Sloot, the prime suspect in the disappearance of American teen Natalee Holloway, pleaded guilty today to the 2010 murder of Stephany Flores in Peru.",321,2020-12-30T21:32:52Z,http://dummyimage.com/971x1769.png/ff4444/ffffff,64.187.178.111,me,active
122,Show '20/20' Your Toddler's Meltdown,422,2021-02-18T08:17:50Z,http://dummyimage.com/835x997.png/dddddd/000000,71.63.85.68,friends,draft
123,In 18 years of monthly ESPN sports polling — the standard for sports intelligence in the industry — there have been just 11 different athletes crowned as America’s favorite active pro athlete.,406,2021-08-26T17:58:25Z,http://dummyimage.com/1467x148.png/ff4444/ffffff,17.147.195.62,anyone,draft
124,"If the experience in New Hampshire is anything to go by, South Carolina voters should brace themselves for a deluge of robocalls.",127,2021-04-25T09:04:15Z,http://dummyimage.com/374x449.png/cc0000/ffffff,107.202.198.112,anyone,draft
125,"Two years ago the devastating 7.0 earthquake hit Haiti. The Haitian government reported that an estimated 316,000 people had died, 300,000 had been injured and 1 million made homeless.",483,2021-03-31T12:37:56Z,http://dummyimage.com/1304x405.png/dddddd/000000,77.244.161.80,me,deleted
126,"As victims' loved ones ask why killers and rapists got pardoned by former Mississippi Gov. Haley Barbour during his final hours in office, a Mississippi state judge has temporarily halted the release of 21 of the 200-plus pardoned inmates.",615,2021-02-20T20:42:40Z,http://dummyimage.com/1629x1783.png/ff4444/ffffff,249.106.181.76,anyone,draft
127,"Although she was a no-show at the ceremony, singer and sometimes actress Katy Perry was the big winner at the 38th annual People’s Choice Awards in Los Angeles where she was named the winner in five categories, including favorite female artist",651,2021-07-31T02:26:51Z,http://dummyimage.com/594x775.png/5fa2dd/ffffff,132.120.214.3,friends,deleted
128,Sarah Burke now in medically induced coma after crashing on a half-pipe course.,935,2020-09-01T10:26:53Z,http://dummyimage.com/762x589.png/cc0000/ffffff,48.198.186.188,anyone,draft
129,USMC launching investigation into graphic video.,284,2021-08-08T08:59:41Z,http://dummyimage.com/1155x1758.png/dddddd/000000,22.42.251.153,friends,draft
130,"A Facebook movement to urge Mattel to produce a bald version of its famously blonde Barbie doll generated more than 10,000 “likes” in just a couple of hours, according to one of the administrators of the “Bald and Beautiful Barbie” page.",449,2021-03-28T02:17:56Z,http://dummyimage.com/202x533.png/cc0000/ffffff,33.178.166.178,anyone,draft
131,The Department of Transportation reigns in sneaky airfare advertising. The kind that starts at $239* but ends up in the $700 range.,872,2020-09-19T16:52:21Z,http://dummyimage.com/1561x1865.png/dddddd/000000,99.39.112.255,friends,deleted
132,A principal who hypnotized students is facing two misdemeanor charges.,779,2021-05-08T01:34:48Z,http://dummyimage.com/801x879.png/ff4444/ffffff,175.42.239.69,me,deleted
133,"Cholera in Haiti blamed on peacekeepers, despite UN denials.",42,2020-09-28T16:33:34Z,http://dummyimage.com/1010x528.png/5fa2dd/ffffff,249.37.250.198,anyone,draft
